game_id,title,console,publisher,critic_score,total_shipped,release_date,last_update,game_url,japan_sales,na_sales,europe_sales,others_sales,total_units
70562,Pokémon Conquest    ,DS,Nintendo,N/A,N/A,18th Jun 12,30th Jul 18,https://www.vgchartz.com/game/70562/pokemon-conquest/?region=All,0.37,0.56,0.05,0.05,1.02
51880,Pokémon Rumble Blast    ,3DS,Nintendo,5.3,1.40m,24th Oct 11,N/A,https://www.vgchartz.com/game/51880/pokemon-rumble-blast/?region=All,0.35,0.47,0.26,0.07,1.15
7390,Pokémon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo,6.4,4.88m,20th Apr 08,N/A,https://www.vgchartz.com/game/7390/pokemon-mystery-dungeon-explorers-of-time-darkness/?region=All,1.54,1.83,1.19,0.37,4.94
33235,Pokémon Mystery Dungeon: Explorers of Sky,DS,Nintendo,5.7,1.49m,12th Oct 09,N/A,https://www.vgchartz.com/game/33235/pokemon-mystery-dungeon-explorers-of-sky/?region=All,0.44,0.57,0.43,0.12,1.56
1765,Pokémon Ranger,DS,Nintendo,6.6,2.93m,30th Oct 06,N/A,https://www.vgchartz.com/game/1765/pokemon-ranger/?region=All,0.73,1.28,0.03,0.12,2.15
1768,Pokémon Stadium 2,N64,Nintendo,7.9,2.54m,28th Mar 01,N/A,https://www.vgchartz.com/game/1768/pokemon-stadium-2/?region=All,1.13,1.02,0.36,0.23,2.73
4026,Pokémon Mystery Dungeon: Blue Rescue Team,DS,Nintendo,6.3,3.49m,18th Sep 06,N/A,https://www.vgchartz.com/game/4026/pokemon-mystery-dungeon-blue-rescue-team/?region=All,0.83,1.15,0.05,0,2.03
14751,Pokémon Ranger: Shadows of Almia,DS,Nintendo,6.7,2.35m,10th Nov 08,N/A,https://www.vgchartz.com/game/14751/pokemon-ranger-shadows-of-almia/?region=All,0.62,0.94,0.54,0.18,2.28
4028,Pokémon Pinball,GBC,Nintendo,8.7,5.31m,31st Jul 99,06th Jan 18,https://www.vgchartz.com/game/4028/pokemon-pinball/?region=All,1.01,3.02,1.12,0.16,5.31
226768,New Pokémon Snap,NS,Nintendo,N/A,2.40m,30th Apr 21,17th Jun 20,https://www.vgchartz.com/game/226768/new-pokemon-snap/?region=All,,,,,2.4
1762,Pokémon Dash,DS,Nintendo,5.3,N/A,14th Mar 05,N/A,https://www.vgchartz.com/game/1762/pokemon-dash/?region=All,0.38,0.21,0.14,0.04,0.77
4033,Pokémon Trading Card Game,GB,Nintendo,8.3,3.72m,10th Apr 00,N/A,https://www.vgchartz.com/game/4033/pokemon-trading-card-game/?region=All,1.38,1.49,0.73,0.1,3.7
220575,Pokémon Crystal Version,3DS,Nintendo,N/A,N/A,26th Jan 18,03rd Aug 18,https://www.vgchartz.com/game/220575/pokemon-crystal-version/?region=All,0,0,0.11,0.01,0.12
42606,Pokémon Ranger: Guardian Signs,DS,Nintendo,6.5,1.53m,04th Oct 10,N/A,https://www.vgchartz.com/game/42606/pokemon-ranger-guardian-signs/?region=All,0.58,0.5,0.17,0.05,1.3
4020,Pokémon Box: Ruby and Sapphire,GC,Nintendo,N/A,N/A,12th Sep 04,N/A,https://www.vgchartz.com/game/4020/pokemon-box-ruby-and-sapphire/?region=All,0.27,0,0,0.01,0.28
4027,Pokémon Mystery Dungeon: Red Rescue Team,GBA,Nintendo,N/A,2.36m,18th Sep 06,N/A,https://www.vgchartz.com/game/4027/pokemon-mystery-dungeon-red-rescue-team/?region=All,0.74,0.71,0.52,0.08,2.06
1760,Pokémon Channel,GC,Nintendo,5.2,N/A,01st Dec 03,N/A,https://www.vgchartz.com/game/1760/pokemon-channel/?region=All,0.07,0.24,0.06,0.01,0.38
1764,Pokémon Puzzle League,N64,Nintendo,N/A,N/A,01st Sep 00,N/A,https://www.vgchartz.com/game/1764/pokemon-puzzle-league/?region=All,0,0.36,0.08,0.01,0.45
1769,Pokémon Trozei!,DS,Nintendo,N/A,N/A,06th Mar 06,N/A,https://www.vgchartz.com/game/1769/pokemon-trozei/?region=All,0.31,0.25,0,0.02,0.59
81812,Pokémon Art Academy,3DS,Nintendo,7.8,N/A,24th Oct 14,03rd Aug 18,https://www.vgchartz.com/game/81812/pokemon-art-academy/?region=All,0.17,0.18,0.12,0.03,0.5
6388,Pokémon Pinball: Ruby & Sapphire (Old all region sales),GBA,Nintendo,N/A,1.37m,26th Aug 03,04th Sep 18,https://www.vgchartz.com/game/6388/pokemon-pinball-ruby-amp-sapphire-old-all-region-sales/?region=All,0.44,0.68,0.38,0.05,1.56
205360,Pokémon Gold/Pokémon Silver,3DS,Nintendo,N/A,N/A,22nd Sep 17,03rd Aug 18,https://www.vgchartz.com/game/205360/pokemon-goldpokemon-silver/?region=All,0,0,0.21,0.01,0.22
74528,Pokémon Rumble U,WiiU,Nintendo,5.7,N/A,29th Aug 13,03rd Aug 18,https://www.vgchartz.com/game/74528/pokemon-rumble-u/?region=All,0,0,0,0,0
4034,Pokémon Card GB2: GRdan Sanjou,GB,Nintendo,N/A,N/A,28th Mar 01,N/A,https://www.vgchartz.com/game/4034/pokemon-card-gb2-grdan-sanjou/?region=All,0.89,0,0,0,0.89
85542,Pokémon Rumble World,3DS,Nintendo,7,N/A,08th Apr 15,03rd Aug 18,https://www.vgchartz.com/game/85542/pokemon-rumble-world/?region=All,0.09,0,0.02,0,0.11
47635,Learn with Pokémon: Typing Adventure,DS,Nintendo,N/A,N/A,21st Apr 11,28th Aug 18,https://www.vgchartz.com/game/47635/learn-with-pokemon-typing-adventure/?region=All,0.29,0,0,0,0.29
7043,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,Nintendo,N/A,N/A,18th Sep 06,N/A,https://www.vgchartz.com/game/7043/pokemon-mystery-dungeon-red-rescue-team-us-weekly-sales/?region=All,0,0.81,0.3,0.02,1.13
4029,Pokémon Pinball: Ruby & Sapphire (JP weekly sales),GBA,Nintendo,N/A,N/A,26th Aug 03,N/A,https://www.vgchartz.com/game/4029/pokemon-pinball-ruby-amp-sapphire-jp-weekly-sales/?region=All,0.44,0,0,0.01,0.45
28110,Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,GBA,Nintendo,N/A,N/A,27th Sep 04,N/A,https://www.vgchartz.com/game/28110/pokemon-beach-blank-out-blastoise-go-west-young-meowth-game-boy-advance-video/?region=All,0,0.12,0.05,0,0.17
28111,Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,Nintendo,N/A,N/A,27th Sep 04,N/A,https://www.vgchartz.com/game/28111/pokemon-i-choose-you-squirtle-squad-game-boy-advance-video/?region=All,0,0.13,0.05,0,0.18
28113,Pokémon: Johto Photo Finish: Game Boy Advance Video,GBA,Majesco,N/A,N/A,21st Jun 04,N/A,https://www.vgchartz.com/game/28113/pokemon-johto-photo-finish-game-boy-advance-video/?region=All,0,0.11,0.04,0,0.15
28112,Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video,GBA,Nintendo,N/A,N/A,21st Jun 04,N/A,https://www.vgchartz.com/game/28112/pokemon-for-ho-oh-the-bells-toll-game-boy-advance-video/?region=All,0,0.09,0.03,0,0.13
